Category,Item,Type/Rarity,Field,Value,Notes
Clamp/Floor,Weapon Build,weaponBuild.ts,reloadSeconds min,0.15,Reload floor (s)
Clamp/Floor,Weapon Build,weaponBuild.ts,projectileSpeed min,80,Projectile speed floor (px/s)
Clamp/Floor,Weapon Build,weaponBuild.ts,projectileLifetimeSeconds min,0.1,Lifetime floor (s)
Clamp/Floor,Weapon Build,weaponBuild.ts,moveSpeedMultiplier min,0.45,Move-speed multiplier floor
Clamp/Floor,Weapon Build,weaponBuild.ts,parryCoverMultiplier min,0.45,Parry-cover multiplier floor
Clamp/Floor,Weapon Build,weaponBuild.ts,parryCooldownMultiplier min,0.28,Parry-cooldown multiplier floor
Clamp/Floor,Weapon Build,weaponBuild.ts,projectile.rangePx min,48,Range floor (px)
Clamp/Floor,Weapon Build,weaponBuild.ts,projectile.sizeMultiplier min,0.35,Size multiplier floor
Clamp/Floor,Weapon Build,weaponBuild.ts,projectile.speedMultiplier min,0.15,Speed multiplier floor
Clamp/Floor,Weapon Build,weaponBuild.ts,projectile.lifetimeMultiplier min,0.1,Lifetime multiplier floor
Clamp/Floor,Weapon Build,weaponBuild.ts,projectile.slowMultiplier range,"0.1 - 1",Slow multiplier bounds
Clamp/Floor,Design Target,weaponBuild.ts comment,PLAYER_BASE_HP (TTK calc),100,Assumed target HP for neutralTTK calc
Clamp/Floor,Design Target,weaponBuild.ts comment,TTK target band,"1.8s - 3.5s",Design-intent balance band referenced in code comments - see combat-balance-ttk skill
Chaos Modifier,low-gravity,Party modifier,gravityMultiplier,0.46,-54% gravity
Chaos Modifier,slow-motion,Party modifier,timeScale,0.55,Whole match at 55% speed
Chaos Modifier,golden-gun,Party modifier,damageMultiplier,9,9x damage
Chaos Modifier,golden-gun,Party modifier,fireRateMultiplier,0.28,-72% fire rate
Chaos Modifier,golden-gun,Party modifier,recoilMultiplier,1.8,+80% recoil
Chaos Modifier,slappers-only,Party modifier,disableProjectiles,true,No projectiles spawn - shove-only combat
Chaos Modifier,slappers-only,Party modifier,recoilMultiplier,2.8,+180% recoil
Chaos Modifier,fire-hazard,Party modifier,fireHazardIntervalMs,2400,Arena spawns fire patches every 2.4s
Chaos Modifier,random-shapes,Party modifier,randomProjectileShapes,true,Rerolls shot shape every fire (7-shape pool)
Chaos Modifier,max-recoil,Party modifier,recoilMultiplier,3.6,+260% recoil
Network,Snapshot Rate,Core,SNAPSHOT_HZ,20,Network snapshot broadcast rate (Hz)
Network,Snapshot Rate,Core,SNAPSHOT_INTERVAL_TICKS,3,Ticks between snapshots (60Hz sim / 20Hz snapshot)
Network,Sim Tick,Core,STEP_MS,16.667,Fixed sim tick duration (ms) - 60Hz simulation
Map Authoring,Platform,Core,MIN_PLATFORM_H_PX,12,Smallest authorable platform height (px) - drives sub-step guard (0.6x this)
